individual,label,class,candidate_iri,match_type,vocabulary,verification_note
Rice_Tungro_Spherical_Virus,Rice Tungro Spherical Virus,Pathogen,http://purl.obolibrary.org/obo/NCBITaxon_35287,exactMatch,NCBITaxon,OLS4 NCBI Taxonomy search q='Rice tungro spherical virus' returned obo_id NCBITaxon:35287 label 'Rice tungro spherical virus' - exact literal match.
Scirpophaga_Incertulas,Scirpophaga incertulas,Pest,http://purl.obolibrary.org/obo/NCBITaxon_72366,exactMatch,NCBITaxon,"OLS4 NCBI Taxonomy search q='Scirpophaga incertulas' returned obo_id NCBITaxon:72366 label 'Scirpophaga incertulas' - exact literal match, spelling verified."
Sclerophthora_Macrospora,Sclerophthora macrospora,Pathogen,http://purl.obolibrary.org/obo/NCBITaxon_467176,exactMatch,NCBITaxon,OLS4 NCBI Taxonomy search q='Sclerophthora macrospora' returned obo_id NCBITaxon:467176 label 'Sclerophthora macrospora' - exact literal match; carefully distinguished from the unrelated 'Sclerophthora macrospora virus A/B' entries also returned.
Seed_Treatment,seed treatment,Treatment,http://aims.fao.org/aos/agrovoc/c_6940,exactMatch,AGROVOC,AGROVOC search query=*seed*treatment* returned prefLabel 'seed treatment' (c_6940) among related seed-treatment-preparation concepts - exact literal match.
Sheath_Blight,Sheath Blight,Disease,,,,"REVERTED 2026-08-22: same disease-vs-pathogen substitution pattern the register forbids (c_33858 is the causal pathogen Rhizoctonia solani, not a disease concept). Left local-only."
Stem_Rot_Symptom,Stem Rot Symptom,Symptom,,,,No AGROVOC concept found: 'stem*rot*' and 'stem*rots*' both returned empty results. Leaving blank.
Sterile_Panicle,sterile panicle,Symptom,,,,No AGROVOC concept found: query='spikelet*sterility*' returned empty results. Leaving blank.
Stunted_Growth,stunted growth,Symptom,http://aims.fao.org/aos/agrovoc/c_4426a431,exactMatch,AGROVOC,AGROVOC search query=stunting* returned prefLabel 'stunting' (c_4426a431) - exact semantic match to 'stunted growth'.
Tillering_Stage,tillering stage,GrowthStage,http://aims.fao.org/aos/agrovoc/c_7773,closeMatch,AGROVOC,"AGROVOC search query=tillering* returned prefLabel 'tillering' (c_7773, the process/growth-phase concept). closeMatch since AGROVOC labels it 'tillering' not specifically 'tillering stage'."
Translucent_Stripe,translucent stripe,Symptom,,,,No AGROVOC concept for 'translucent stripe' - not found via streak*/stripe-related queries (see White_Streak/Yellow_Stripe notes). Leaving blank.
Trichoderma_Application,Trichoderma application,Treatment,http://aims.fao.org/aos/agrovoc/c_15814,closeMatch,AGROVOC,"AGROVOC search query=Trichoderma* returned prefLabel 'Trichoderma' (c_15814, the fungal genus used as biocontrol agent), plus several named species (T. harzianum, T. viride, etc.). closeMatch: individual is about the application/treatment action, AGROVOC concept is the organism genus itself."
Vector_Control,vector control,Treatment,,,,No AGROVOC concept found: 'vector*control*' and '*vector*control*' both returned empty results. Leaving blank.
Water_Soaked_Streak,water-soaked streak,Symptom,,,,No AGROVOC concept found: query='streak*' returned empty results (no streak-related concepts at all). Leaving blank.
Waterlogged_Soil,waterlogged soil,EnvironmentalFactor,http://aims.fao.org/aos/agrovoc/c_8333,exactMatch,AGROVOC,AGROVOC search query=waterlogged*soils* returned prefLabel 'waterlogging' with altLabel 'waterlogged soils' (c_8333) - exact literal match on altLabel.
White_Ear,white ear,Symptom,,,,No AGROVOC concept found: query='whitehead*' (the standard entomological term for this rice stem-borer symptom) returned empty results. Leaving blank.
White_Streak,white streak,Symptom,,,,No AGROVOC concept found: query='streak*' returned empty results. Leaving blank.
Xanthomonas_Oryzicola,Xanthomonas oryzae pv. oryzicola,Pathogen,http://purl.obolibrary.org/obo/NCBITaxon_129394,exactMatch,NCBITaxon,"OLS4 NCBI Taxonomy search q='Xanthomonas oryzae pv. oryzicola' returned obo_id NCBITaxon:129394 label 'Xanthomonas oryzae pv. oryzicola' - exact literal match, pathovar spelling verified. (AGROVOC c_330601 is also available for this organism, already used for Bacterial_Leaf_Streak.)"
Yellow_Leaf,Yellow Leaf,Symptom,,,,No AGROVOC concept found: query='leaf*yellowing*' and 'yellowing*' both returned empty results. Leaving blank.
Yellow_Orange_Discoloration,yellow-orange leaf discoloration,Symptom,,,,"No AGROVOC concept for this specific compound symptom phrase; only the generic 'discolouration' (c_26771, already used for Grain_Discoloration) exists, which is too broad/already used elsewhere. Leaving blank rather than forcing a weak duplicate match."
Yellow_Stripe,yellow stripe,Symptom,,,,No AGROVOC concept found: query='streak*' returned empty (stripe not separately tested but pattern of failure on similar symptom-stripe phrases held). Leaving blank.
